,Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
176,177,179,Georgia Tech,ACC,13-18,3-9,1-3,9-6,1-8,2-6,2-3,8-1
177,178,176,Chattanooga,SoCon,15-17,6-9,3-1,6-7,0-1,1-5,3-8,11-3
178,179,182,Bryant,America East,15-13,7-8,1-1,7-4,0-3,1-2,2-3,12-5
179,180,172,Wyoming,Mountain West,8-22,1-8,1-6,6-8,1-6,1-9,2-6,4-1
180,181,178,FGCU,ASUN,16-15,6-9,3-1,7-5,1-3,0-0,6-6,9-6
181,182,192,UTEP,C-USA,12-18,3-10,0-1,9-7,0-6,1-3,2-7,9-2
182,183,181,Norfolk St.,MEAC,18-11,6-8,6-1,6-2,0-4,0-0,2-3,16-4
183,184,186,Notre Dame,ACC,11-21,0-10,0-3,11-8,0-7,2-5,2-7,7-2
184,185,171,Cleveland St.,Horizon,20-13,7-9,1-2,12-2,0-1,0-4,4-6,16-2
185,186,180,Grambling,SWAC,22-9,9-6,4-2,9-1,0-3,1-1,1-0,20-5
186,187,185,N.C. Central,MEAC,14-12,4-10,1-1,9-1,0-3,0-0,2-7,12-2
187,188,202,Rice,C-USA,16-16,6-7,2-2,8-7,1-6,0-3,6-4,9-3
188,189,191,Drexel,CAA,16-15,3-9,2-3,11-3,0-1,1-4,4-5,11-5
189,190,188,East Carolina,AAC,16-17,2-9,4-2,10-6,0-5,3-4,2-7,11-1
190,191,189,New Mexico St.,WAC,6-15,1-9,2-2,3-4,0-2,0-5,3-6,3-2
191,192,187,Weber St.,Big Sky,16-15,8-8,2-3,6-4,1-0,0-5,4-8,11-2
192,193,194,Texas St.,Sun Belt,14-18,7-7,5-2,2-9,0-0,3-6,2-8,9-4
193,194,193,Buffalo,MAC,13-17,3-9,1-4,9-4,0-4,0-5,4-5,9-3
194,195,198,Gardner-Webb,Big South,13-16,6-10,1-1,6-5,0-1,0-1,2-8,11-6
195,196,197,App State,Sun Belt,13-16,6-7,0-2,7-7,0-0,1-5,2-8,10-3
196,197,195,Wright St.,Horizon,16-15,7-8,2-1,7-6,0-0,0-2,4-8,12-5
197,198,190,Pacific,WCC,14-17,7-7,1-1,6-9,0-2,1-5,7-6,6-4
198,199,196,St. Thomas (MN),Summit League,17-14,4-11,3-1,10-2,0-3,0-3,2-3,15-5
199,200,199,St. Bonaventure,Atlantic 10,14-18,2-11,1-3,11-4,1-0,0-3,7-9,6-6
200,201,200,Saint Joseph's,Atlantic 10,16-17,4-7,2-4,10-6,0-1,0-6,4-8,12-2
201,202,204,Queens (NC),ASUN,15-15,7-10,3-0,5-5,0-1,1-3,2-8,12-3
202,203,205,Massachusetts,Atlantic 10,15-16,3-8,4-2,8-6,0-2,3-1,5-11,7-2
203,204,206,Abilene Christian,WAC,9-17,4-8,0-4,5-5,0-4,0-3,4-9,5-1
204,205,203,Northwestern St.,Southland,21-11,10-7,2-1,9-3,1-3,0-0,2-3,18-5
205,206,208,Siena,MAAC,17-15,7-8,2-2,8-5,0-1,2-0,1-5,14-9
206,207,207,Ga. Southern,Sun Belt,14-16,3-11,2-1,9-4,0-0,0-7,4-5,10-4
207,208,201,Pepperdine,WCC,7-22,0-12,1-2,6-8,0-4,0-9,2-7,5-2
208,209,209,SMU,AAC,10-22,1-11,2-2,7-9,1-8,1-8,2-5,6-1
209,210,210,Milwaukee,Horizon,19-12,6-7,1-2,12-3,0-2,0-2,8-3,11-5
210,211,211,George Washington,Atlantic 10,15-16,5-6,0-4,10-6,0-0,0-4,5-8,10-4
